site,event_index,onset_sample,peak_sample,onset_s_from_start,peak_s_from_start,peak_envelope,robust_z_peak
L1,235,584476,584479,4566.21875,4566.2421875,0.08371456326303571,6.502112133366242
L1,236,584643,584646,4567.5234375,4567.546875,0.09384610927951505,7.518199366020108
L1,237,584739,584742,4568.2734375,4568.296875,0.09278240960443732,7.41152150486579
L1,238,584925,584931,4569.7265625,4569.7734375,0.08694267840786983,6.825858043306089
L1,239,585699,585704,4575.7734375,4575.8125,0.09213692255097715,7.346785959787336
L1,240,585793,585797,4576.5078125,4576.5390625,0.1301165790445634,11.15574502693694
L1,241,587591,587595,4590.5546875,4590.5859375,0.08573403629625681,6.704643984122991
L1,242,587837,587841,4592.4765625,4592.5078125,0.08281176262881162,6.411570749398301
L1,243,587917,587920,4593.1015625,4593.125,0.08614057779620485,6.745415809762361
L1,244,587981,587984,4593.6015625,4593.625,0.0825824392772965,6.388572035357531
L1,245,588093,588096,4594.4765625,4594.5,0.07972858856185329,6.102360901228015
L1,246,588202,588207,4595.328125,4595.3671875,0.10989424341550191,9.127657999181334
L1,247,589103,589109,4602.3671875,4602.4140625,0.07901522718659122,6.030818277378385
L1,248,589818,589824,4607.953125,4608.0,0.47309468832319174,45.552832830805684
L1,249,593792,593797,4639.0,4639.0390625,0.09261967951227004,7.395201392540305
L1,250,593857,593861,4639.5078125,4639.5390625,0.08338441476172413,6.469001719958766
L1,251,593986,593991,4640.515625,4640.5546875,0.08346423361135705,6.4770067089214765
L1,252,594234,594239,4642.453125,4642.4921875,0.08067808628240404,6.19758551055381
L1,253,594334,594337,4643.234375,4643.2578125,0.0908184132011225,7.214553375111417
L1,254,594736,594740,4646.375,4646.40625,0.0927075185385795,7.404010720654358
L1,255,595589,595593,4653.0390625,4653.0703125,0.08658956250668949,6.790444241873137
L1,256,596093,596096,4656.9765625,4657.0,0.08216217594545866,6.346424054670434
L1,257,596205,596210,4657.8515625,4657.890625,0.09865044234169408,8.000023312529043
L1,258,596316,596320,4658.71875,4658.75,0.0887356725841296,7.005676452831839
L1,259,596416,596422,4659.5,4659.546875,0.07899518868310736,6.028808626776362
L1,260,596507,596511,4660.2109375,4660.2421875,0.08007351435644657,6.136953321331438
L1,261,597830,597834,4670.546875,4670.578125,0.07981349952708418,6.110876575691032
L1,262,598756,598759,4677.78125,4677.8046875,0.09274396152992435,7.407665568410565
L1,263,598836,598840,4678.40625,4678.4375,0.0862486667597124,6.756255993050496
L1,264,599170,599174,4681.015625,4681.046875,0.08308110782452714,6.438583232399224
L1,265,600201,600205,4689.0703125,4689.1015625,0.10183500389073186,8.319401256064467
L1,266,600899,600905,4694.5234375,4694.5703125,0.08114016937292962,6.243927572065902
L1,267,602404,602408,4706.28125,4706.3125,0.15571587282154364,13.723084259215717
L1,268,603345,603349,4713.6328125,4713.6640625,0.11657181037278257,9.797347552922506
L1,269,604846,604849,4725.359375,4725.3828125,0.08029247675704738,6.158912941247278
L1,270,605097,605101,4727.3203125,4727.3515625,0.08242341043073585,6.372623118938349
L1,271,605269,605273,4728.6640625,4728.6953125,0.079016959273891,6.030991987470437
L1,272,607493,607496,4746.0390625,4746.0625,0.07943366212893314,6.072782889878623
L1,273,608132,608135,4751.03125,4751.0546875,0.09071503260666161,7.204185391590934
L1,274,609169,609173,4759.1328125,4759.1640625,0.07878896059926883,6.008126124553882
L1,275,609614,609618,4762.609375,4762.640625,0.07945821553384032,6.075245337485709
L1,276,610080,610084,4766.25,4766.28125,0.0814928479549117,6.279297514994612
L1,277,610317,610321,4768.1015625,4768.1328125,0.09535523513534291,7.6695487762759935
L1,278,611706,611710,4778.953125,4778.984375,0.0923101847752269,7.364162333903884
L1,279,611853,611858,4780.1015625,4780.140625,0.0853396350913456,6.6650897020616195
L1,280,612053,612059,4781.6640625,4781.7109375,0.08278011977784029,6.408397305106144
L1,281,612359,612364,4784.0546875,4784.09375,0.08223816337318911,6.354044792417027
L1,282,615958,615962,4812.171875,4812.203125,0.08695280276119652,6.826873409187799
L1,283,616070,616075,4813.046875,4813.0859375,0.08439837617786428,6.570691358210207
L1,284,616198,616203,4814.046875,4814.0859375,0.0850563873567522,6.636682941007545
L1,285,616940,616946,4819.84375,4819.890625,0.0793122411640888,6.060605647436633
L1,286,617084,617092,4820.96875,4821.03125,0.08147220660836371,6.277227405589977
L1,287,618730,618734,4833.828125,4833.859375,0.09065633896409028,7.198299038140269
L1,288,619879,619883,4842.8046875,4842.8359375,0.0858496557057646,6.7162393917396335
L1,289,620179,620186,4845.1484375,4845.203125,0.10239666338734289,8.37572978111652
L1,290,620524,620529,4847.84375,4847.8828125,0.09335067410875662,7.468512442544014
L1,291,621315,621322,4854.0234375,4854.078125,0.10312500883674384,8.448775149601657
L1,292,621506,621512,4855.515625,4855.5625,0.0949166489404047,7.625563205626649
L1,293,621732,621737,4857.28125,4857.3203125,0.0799441160109731,6.123976031730398
L1,294,622064,622068,4859.875,4859.90625,0.08297766620823725,6.42820912903274
L1,295,622145,622148,4860.5078125,4860.53125,0.08065194018800186,6.194963332984601
L1,296,625126,625128,4883.796875,4883.8125,0.08160098982879084,6.290143004635101
L1,297,625180,625196,4884.21875,4884.34375,0.09473424829964436,7.60727034469476
L1,298,625530,625533,4886.953125,4886.9765625,0.0810282867942105,6.232706929174089
L1,299,626834,626839,4897.140625,4897.1796875,0.09066181545912347,7.198848272844811
L1,300,627029,627033,4898.6640625,4898.6953125,0.08694089044088259,6.825678729070612
L1,301,629645,629650,4919.1015625,4919.140625,0.08450205228422944,6.581088978458643
L1,302,630142,630147,4922.984375,4923.0234375,0.11661700378380094,9.80187997550255
L1,303,631007,631011,4929.7421875,4929.7734375,0.079022931620776,6.031590950887171
L1,304,631226,631230,4931.453125,4931.484375,0.09465652253332124,7.599475269917357
L1,305,631388,631394,4932.71875,4932.765625,0.09650796023241712,7.785154948521736
L1,306,631626,631631,4934.578125,4934.6171875,0.09616001401458663,7.750259611816686
L1,307,631757,631762,4935.6015625,4935.640625,0.08628164192123965,6.759563054042772
L1,308,631947,631951,4937.0859375,4937.1171875,0.07955592685521473,6.0850447526956675
L1,309,632233,632237,4939.3203125,4939.3515625,0.07972333929434622,6.1018344550483254
L1,310,632378,632382,4940.453125,4940.484375,0.08089951353175773,6.219792328808793
L1,311,632571,632574,4941.9609375,4941.984375,0.07914971822049498,6.044306309928773
L1,312,632700,632705,4942.96875,4943.0078125,0.08250160278012095,6.380464987076949
L1,313,632764,632771,4943.46875,4943.5234375,0.10277034306241847,8.413205912235004
L1,314,635163,635166,4962.2109375,4962.234375,0.08088407053279158,6.218243558852276
L1,315,635614,635620,4965.734375,4965.78125,0.08177042285058056,6.307135350122202
L1,316,636314,636317,4971.203125,4971.2265625,0.09804712346477362,7.939516790912219
L1,317,637474,637478,4980.265625,4980.296875,0.1042294246074854,8.55953640581732
L1,318,638976,638981,4992.0,4992.0390625,0.15651923081324504,13.803652594718564
L1,319,639094,639098,4992.921875,4992.953125,0.0815344902633163,6.283473799427345
L1,320,639174,639179,4993.546875,4993.5859375,0.08683115403618577,6.814673324802752
L1,321,640148,640152,5001.15625,5001.1875,0.07897484776976547,6.026768647654362
L1,322,640258,640263,5002.015625,5002.0546875,0.08334710737676225,6.465260182637432
L1,323,640388,640392,5003.03125,5003.0625,0.08316047007561964,6.446542429342965
L1,324,640967,640972,5007.5546875,5007.59375,0.09029902655753703,7.162464371468762
L1,325,642034,642040,5015.890625,5015.9375,0.11824305112314952,9.964955377668765
L1,326,642222,642227,5017.359375,5017.3984375,0.08020557817431039,6.15019792970697
L1,327,642744,642750,5021.4375,5021.484375,0.08392347117577907,6.523063394170234
L1,328,643185,643189,5024.8828125,5024.9140625,0.08141947963504562,6.271939446149448
L1,329,643330,643335,5026.015625,5026.0546875,0.09115786695619167,7.24859700735088
L1,330,643509,643513,5027.4140625,5027.4453125,0.09669854074060184,7.804268163903103
L1,331,643656,643659,5028.5625,5028.5859375,0.08007509128339937,6.137111470476787
L1,332,646280,646284,5049.0625,5049.09375,0.07939357692045763,6.068762766149828
L1,333,648223,648227,5064.2421875,5064.2734375,0.11777629071896369,9.918144230916813
L1,334,648992,648997,5070.25,5070.2890625,0.07945825273362248,6.075249068231604
L1,335,649106,649110,5071.140625,5071.171875,0.07938449057120375,6.067851501131312
L1,336,650809,650814,5084.4453125,5084.484375,0.08102276864337317,6.232153516831635
L1,337,651378,651383,5088.890625,5088.9296875,0.0885305158737173,6.9851013980668375
L1,338,651490,651494,5089.765625,5089.796875,0.07995791643368941,6.125360068609315
L1,339,655354,655360,5119.953125,5120.0,0.6851116400777983,66.81589746414447
L1,340,656457,656461,5128.5703125,5128.6015625,0.07967352169835347,6.0968382754753945
L1,341,662562,662566,5176.265625,5176.296875,0.07941753652687496,6.071165662029731
L1,342,662856,662861,5178.5625,5178.6015625,0.10347445242477385,8.483820656748591
L1,343,664004,664007,5187.53125,5187.5546875,0.08935042975896607,7.067330115117702
L1,344,667297,667300,5213.2578125,5213.28125,0.09054306806181409,7.186939161034956
L1,345,667368,667371,5213.8125,5213.8359375,0.08115859267546621,6.245775235044515
L1,346,667916,667920,5218.09375,5218.125,0.07974204282966241,6.103710222419797
L1,347,668128,668132,5219.75,5219.78125,0.09000634451646829,7.133111448955918
L1,348,668257,668261,5220.7578125,5220.7890625,0.08060968832086592,6.190725916238649
L1,349,668347,668350,5221.4609375,5221.484375,0.08227035377205424,6.357273149989276
L1,350,672572,672578,5254.46875,5254.515625,0.08582999658144483,6.714267788867377
L1,351,672930,672935,5257.265625,5257.3046875,0.09025051249613052,7.157598922669619
L1,352,675596,675602,5278.09375,5278.140625,0.1704826697940742,15.20403828603205
L1,353,676754,676758,5287.140625,5287.171875,0.10482225937588088,8.618991481899508
