stroke_hash,H_event_index,L_event_index,H_onset_s,L_onset_s,H_site_arrival_resid_ms,L_site_arrival_resid_ms,predicted_diff_ms,geometry_residual_ms,abs_geometry_residual_ms,within_1_sample,within_2_samples,source_bearing_H_deg,source_bearing_L_deg,energy_j,energy_unc_j,nstn,resid_us,nstn_energy,qc50,H_axis_deg_mod180,L_axis_deg_mod180,H_expected_mag_axis_deg_mod180,L_expected_mag_axis_deg_mod180,H_axial_residual_deg,L_axial_residual_deg,waveform_envelope_corr_fixed_geometry_lag
ef871173abec03399ba2,2922,658,13550.8125,13550.8046875,42.79660037718713,47.124131613600184,12.140031236120972,-4.327531236120972,4.327531236120972,True,True,90.24909323283373,107.03760843985378,20609.29,17010.32,6,6.7,6,False,33.288762197811934,15.812010449564013,0.24909323283372942,17.037608439853784,33.039668964978205,1.2255979902897707,0.5525033802345168
f7c11ef6ed5774fa0442,3115,690,14741.578125,14741.5625,-14.78657745064993,-18.396422592559247,12.0151548576812,3.6098451423187994,3.6098451423187994,True,True,125.9345201110242,199.7430919709613,1221.64,146.09,10,22.4,8,True,45.86352231238527,36.311600787326,35.9345201110242,109.7430919709613,9.929002201361072,73.4314911836353,0.5801573381550212
ad7786bd31456bf1237c,3142,692,14955.0078125,14955.015625,-40.274930268424214,-19.75620452685689,12.706225741651783,-20.51872574165178,20.51872574165178,False,False,132.13256230473155,157.09029007101026,528.05,143.65,14,12.6,10,True,57.04320998337374,73.07073847884351,42.13256230473155,67.09029007101026,14.910647678642192,5.980448407833251,0.6548952176457776
0752a632bb712853f96c,3268,707,15748.078125,15748.0703125,-30.067529587540776,-25.782484941373696,12.097544647636584,-4.2850446476365835,4.2850446476365835,True,True,124.38027974743665,205.17148124684354,1012.96,336.3,11,14.7,11,True,33.873068695179,31.26396128577568,34.380279747436646,115.17148124684354,0.5072110522576452,83.90751996106786,0.34072942487198
ad16a6ac542ca821a46e,3323,716,16042.375,16042.3984375,-43.58411232533399,-24.132729220582405,-3.9861168958231983,-19.451383104176802,19.451383104176802,False,False,222.5385787149884,240.67822036546318,2965.63,810.17,13,20.6,6,True,132.80016064241727,171.99524367639003,132.53857871498838,150.67822036546318,0.2615819274288924,21.317023310926857,0.5767037892627799
3556c8b8af3464ccfad9,3324,717,16046.1875,16046.1953125,-37.94328940603009,-17.749445689332788,12.381343715053069,-20.193843715053067,20.193843715053067,False,False,138.06488702569425,158.40389254798708,0.0,0.0,7,5.6,0,False,64.35899528522799,82.22435832756105,48.06488702569425,68.40389254798708,16.294108259533743,13.820465779573965,0.5749077561105941
c8d8eff003e78702f520,3415,731,16452.109375,16452.0703125,31.3438712801144,1.3231775919848587,9.04180631196251,30.02069368803749,30.02069368803749,False,False,64.20551884169208,88.34266832776433,6991.14,1722.14,7,10.1,7,True,20.30501253227783,48.7324967798404,154.20551884169208,178.34266832776433,46.099493690585746,50.389828452076074,0.729864292764901
98f951551953a48f6cf2,3437,734,16567.96875,16567.9609375,37.693079397286056,42.51770949122147,12.637130093097516,-4.8246300930975154,4.8246300930975154,True,True,132.63936992460367,158.4685954372926,602.37,178.8,8,15.2,4,True,52.77850074720783,14.581121137347196,42.63936992460367,68.4685954372926,10.139130822604159,53.88747429994541,0.5193240911840904
4c71ca1fb7dd15db76c9,3509,741,16883.4921875,16883.4921875,46.328856307809474,34.18877378862817,-12.140082521086732,12.140082521086732,12.140082521086732,False,True,274.1452755515833,282.2541078260553,202.25,29.08,5,2.7,3,True,49.53354257698828,22.763203120636803,4.145275551583325,12.254107826055304,45.38826702540496,10.509095294581499,0.47122422887971765
d8a4e90c20c5413e68be,3785,784,18431.953125,18431.9609375,12.57856096708565,33.650021305220434,13.258960336151551,-21.071460336151553,21.071460336151553,False,False,125.32750932331942,144.42807378969667,1175.29,128.98,6,7.3,2,True,155.2359573031182,112.10255956280912,35.32750932331942,54.42807378969667,60.09155202020122,57.67448577311245,0.533594936266911
0b509f600b8dc2c4faad,4146,829,20380.6640625,20380.65625,-21.288359774189303,-17.019600731146056,12.081259042739587,-4.268759042739586,4.268759042739586,True,True,126.1274575889745,196.2521671377026,95.32,16.93,7,14.3,7,True,68.18933045636032,25.90104016579744,36.127457588974494,106.2521671377026,32.06187286738583,80.35112697190516,0.6787502015233511
bc1a4f210572403e616c,4156,831,20410.8984375,20410.8984375,17.245776234631194,29.953265064250445,12.707488831659422,-12.707488831659422,12.707488831659422,False,True,132.50049224726672,156.55244143829032,87.88,7.61,5,12.6,5,True,61.77384687117535,18.065335602918736,42.50049224726672,66.55244143829032,19.27335462390863,48.48710583537158,0.7312821558636793
e6a6af7ff43e28d62505,4274,844,20960.5234375,20960.5234375,-36.80355248070555,-24.045250032941112,12.75830244841368,-12.75830244841368,12.75830244841368,False,True,131.61272129726092,156.18354166701795,777.25,274.06,7,21.0,4,True,51.587285717750035,71.03856944588057,41.61272129726092,66.18354166701795,9.974564420489116,4.85502777886262,0.6381387052033236
