site,event_index,onset_sample,peak_sample,onset_s_from_start,peak_s_from_start,peak_envelope,robust_z_peak
H1,2337,1294823,1294827,10115.8046875,10115.8359375,0.014600636143113176,15.164606657898695
H1,2338,1294913,1294917,10116.5078125,10116.5390625,0.0083703223657601,7.9247716376705695
H1,2339,1295007,1295012,10117.2421875,10117.28125,0.0206304809006091,22.17148990678775
H1,2340,1295370,1295374,10120.078125,10120.109375,0.007010372461029687,6.344463919973867
H1,2341,1296233,1296237,10126.8203125,10126.8515625,0.008763370560239707,8.381506913729142
H1,2342,1297086,1297092,10133.484375,10133.53125,0.010154050477743688,9.997523944086602
H1,2343,1298861,1298865,10147.3515625,10147.3828125,0.009569542709406834,9.318306177208996
H1,2344,1299590,1299594,10153.046875,10153.078125,0.008770256452462715,8.3895085530435
H1,2345,1300896,1300900,10163.25,10163.28125,0.007756075071932555,7.2109955378057675
H1,2346,1301499,1301502,10167.9609375,10167.984375,0.007500482721893354,6.913988595163086
H1,2347,1301968,1301973,10171.625,10171.6640625,0.04006361078571347,44.75344313139614
H1,2348,1304248,1304252,10189.4375,10189.46875,0.0075940293977058305,7.022692991727335
H1,2349,1304585,1304589,10192.0703125,10192.1015625,0.012966093076170955,13.265212412116915
H1,2350,1305214,1305218,10196.984375,10197.015625,0.007431953679336605,6.834355533340662
H1,2351,1305469,1305473,10198.9765625,10199.0078125,0.010593324115978856,10.507974746920663
H1,2352,1305827,1305841,10201.7734375,10201.8828125,0.036293474028537075,40.372416894022386
H1,2353,1305992,1305996,10203.0625,10203.09375,0.009830897137668975,9.622008849344367
H1,2354,1306245,1306248,10205.0390625,10205.0625,0.006791538570336202,6.090171548502241
H1,2355,1306553,1306557,10207.4453125,10207.4765625,0.007256583150600647,6.630569056313831
H1,2356,1306837,1306841,10209.6640625,10209.6953125,0.018209769253413416,19.35854122016685
H1,2357,1307402,1307408,10214.078125,10214.125,0.028869682388768855,31.74572029138275
H1,2358,1307855,1307860,10217.6171875,10217.65625,0.01208788447795743,12.244704362021093
H1,2359,1308220,1308226,10220.46875,10220.515625,0.00956614628936459,9.314359422415581
H1,2360,1310066,1310076,10234.890625,10234.96875,0.019857857133188182,21.273674995897178
H1,2361,1310241,1310244,10236.2578125,10236.28125,0.00686771833526255,6.178695008099299
H1,2362,1310714,1310719,10239.953125,10239.9921875,0.08170102439965125,93.13752393478372
H1,2363,1311644,1311648,10247.21875,10247.25,0.00812787769901973,7.64304274704635
H1,2364,1312130,1312138,10251.015625,10251.078125,0.01091525061426868,10.882064210075802
H1,2365,1312206,1312210,10251.609375,10251.640625,0.00912348606429528,8.799973291308007
H1,2366,1313182,1313193,10259.234375,10259.3203125,0.00817244315128974,7.694829307654183
H1,2367,1313545,1313548,10262.0703125,10262.09375,0.007085966994472087,6.432307320822069
H1,2368,1315536,1315539,10277.625,10277.6484375,0.00977823080878576,9.560808796528159
H1,2369,1316286,1316294,10283.484375,10283.546875,0.008374321338953513,7.929418579575143
H1,2370,1317555,1317559,10293.3984375,10293.4296875,0.006893969626733466,6.2091998953504355
H1,2371,1318838,1318843,10303.421875,10303.4609375,0.009458381210513777,9.189132761335081
H1,2372,1319159,1319162,10305.9296875,10305.953125,0.007779048813466887,7.237691801340761
H1,2373,1320019,1320024,10312.6484375,10312.6875,0.006993218318220124,6.324530226697277
H1,2374,1322312,1322315,10330.5625,10330.5859375,0.008691046377057735,8.297463770330241
H1,2375,1323644,1323648,10340.96875,10341.0,0.01056598166737233,10.47620189822725
H1,2376,1324626,1324630,10348.640625,10348.671875,0.008523282402670269,8.102516366345872
H1,2377,1325240,1325246,10353.4375,10353.484375,0.01749866532154143,18.532214435839794
H1,2378,1325355,1325358,10354.3359375,10354.359375,0.008402415786667849,7.962065276628437
H1,2379,1327027,1327030,10367.3984375,10367.421875,0.0072734250148278135,6.650139871331364
H1,2380,1327177,1327180,10368.5703125,10368.59375,0.0071651926936027715,6.524370258832243
H1,2381,1327554,1327558,10371.515625,10371.546875,0.008474873497704042,8.046263583903464
H1,2382,1328668,1328671,10380.21875,10380.2421875,0.00848716618872672,8.06054810602213
H1,2383,1328787,1328798,10381.1484375,10381.234375,0.008653021423414835,8.253277490013653
H1,2384,1329799,1329810,10389.0546875,10389.140625,0.011070376970508394,11.062326274973246
H1,2385,1330624,1330627,10395.5,10395.5234375,0.010327803511108593,10.19943083686601
H1,2386,1331074,1331077,10399.015625,10399.0390625,0.007322822867303365,6.707541844178468
H1,2387,1331359,1331363,10401.2421875,10401.2734375,0.012592367404168366,12.830930559739304
H1,2388,1331637,1331642,10403.4140625,10403.453125,0.007066298353081016,6.409451695273804
H1,2389,1332008,1332012,10406.3125,10406.34375,0.007861872068269273,7.3339352205385575
H1,2390,1333401,1333408,10417.1953125,10417.25,0.007042934829345078,6.382302491656768
H1,2391,1334906,1334912,10428.953125,10429.0,0.008012555507928011,7.509034466322169
H1,2392,1334987,1334995,10429.5859375,10429.6484375,0.014026641075956574,14.497605004828811
H1,2393,1336197,1336207,10439.0390625,10439.1171875,0.007342108008794816,6.729951829891769
H1,2394,1336814,1336820,10443.859375,10443.90625,0.0229808080807059,24.90264946560663
H1,2395,1337651,1337656,10450.3984375,10450.4375,0.007685945796231443,7.129502951026319
H1,2396,1338116,1338119,10454.03125,10454.0546875,0.01003124035286984,9.85481443142414
H1,2397,1338317,1338322,10455.6015625,10455.640625,0.012713301799364017,12.971460411168323
H1,2398,1338720,1338726,10458.75,10458.796875,0.007100394905049004,6.449073040173665
H1,2399,1339233,1339239,10462.7578125,10462.8046875,0.035750051097508874,39.74094109561975
H1,2400,1339582,1339585,10465.484375,10465.5078125,0.007315364234682005,6.698874661178565
H1,2401,1340905,1340908,10475.8203125,10475.84375,0.006948355075353931,6.272397623359658
H1,2402,1341556,1341560,10480.90625,10480.9375,0.0069241243836636246,6.24424074129354
H1,2403,1341967,1341973,10484.1171875,10484.1640625,0.008588928307624503,8.178799124904486
H1,2404,1343216,1343220,10493.875,10493.90625,0.019581326156853016,20.952336662356654
H1,2405,1343339,1343342,10494.8359375,10494.859375,0.007578589605825729,7.004751432128055
H1,2406,1343993,1343996,10499.9453125,10499.96875,0.007596301073542602,7.0253327557689875
H1,2407,1344529,1344532,10504.1328125,10504.15625,0.007908322046230227,7.387911663643709
H1,2408,1345146,1345149,10508.953125,10508.9765625,0.007774987991009342,7.232972988502485
H1,2409,1345675,1345681,10513.0859375,10513.1328125,0.007860085736620321,7.331859442834258
H1,2410,1346321,1346326,10518.1328125,10518.171875,0.023678168709587322,25.713006067718087
H1,2411,1346900,1346903,10522.65625,10522.6796875,0.006771910274023181,6.067362805297207
H1,2412,1347181,1347184,10524.8515625,10524.875,0.00841559963283013,7.977385351115526
H1,2413,1348677,1348688,10536.5390625,10536.625,0.010166993337994458,10.012563984805908
H1,2414,1350732,1350737,10552.59375,10552.6328125,0.02028460442021659,21.769569755587465
